,Uid,InSLR2030
0,-156.02529_19.66875,True
1,-156.02297_19.66819,True
2,-156.05463_19.72260,True
3,-156.05447_19.73736,True
4,-155.93135_19.85247,True
5,-155.92693_19.85305,True
6,-155.08789_19.72959,True
7,-155.06349_19.70977,True
8,-155.07937_19.71591,True
9,-155.06457_19.71332,True
10,-155.06218_19.70770,True
11,-155.06470_19.71361,True
12,-155.06354_19.70553,True
13,-155.06382_19.70786,True
14,-155.06321_19.70977,True
15,-155.08023_19.71487,True
16,-155.06471_19.71456,True
17,-155.06676_19.70673,True
18,-155.07950_19.71603,True
19,-155.06469_19.70855,True
20,-155.07351_19.71146,True
21,-155.0668_19.71018,True
22,-155.06883_19.70812,True
23,-155.06144_19.71012,True
24,-155.06380_19.71361,True
25,-155.06469_19.70786,True
26,-155.08000_19.71501,True
27,-155.06383_19.70991,True
28,-155.08006_19.71602,True
29,-155.07623_19.71351,True
30,-155.04172_19.72486,True
31,-155.01942_19.73113,True
32,-155.03803_19.72756,True
33,-155.03781_19.72767,True
34,-155.03759_19.72777,True
35,-155.03809_19.72835,True
36,-155.03836_19.72823,True
37,-155.04093_19.72845,True
38,-155.03940_19.73001,True
39,-155.04126_19.73574,True
40,-155.04226_19.73541,True
41,-155.04042_19.72636,True
42,-155.03990_19.72662,True
43,-155.06253_19.71851,True
44,-155.04917_19.72365,True
45,-155.03847_19.72583,True
46,-155.04082_19.72699,True
47,-155.03572_19.72417,True
48,-155.03566_19.72502,True
49,-155.03629_19.72472,True
50,-155.03795_19.72693,True
51,-155.04056_19.73160,True
52,-155.04980_19.72423,True
53,-155.04146_19.73114,True
54,-155.04224_19.73075,True
55,-155.04042_19.72754,True
56,-155.03624_19.72391,True
57,-155.04783_19.72799,True
58,-155.04005_19.73185,True
59,-155.03966_19.73058,True
60,-155.06532_19.72224,True
61,-155.06470_19.71887,True
62,-155.03745_19.73669,True
63,-155.08061_19.71740,True
64,-155.04807_19.72494,True
65,-155.04826_19.72469,True
66,-155.04301_19.73416,True
67,-155.05551_19.72539,True
68,-155.03695_19.72523,True
69,-155.03787_19.73674,True
70,-155.04495_19.72821,True
71,-155.03702_19.72588,True
72,-155.03817_19.72530,True
73,-155.04633_19.72493,True
74,-155.05027_19.72388,True
75,-155.04603_19.72507,True
76,-155.82846_20.03815,True
77,-155.05734_19.72797,True
78,-155.04507_19.72932,True
79,-155.04707_19.72824,True
80,-155.03982_19.73262,True
81,-155.03979_19.73198,True
82,-155.03658_19.72525,True
83,-155.04161_19.72811,True
84,-155.09284_19.75656,True
85,-155.09113_19.75537,True
86,-155.82791_19.98192,True
87,-155.82863_19.97968,True
88,-155.82887_19.97915,True
89,-155.83604_19.97210,True
90,-155.83801_19.97246,True
